"Passengers (All Carriers - Santa Ana, CA: John Wayne Airport-Orange County (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"333,182",297,"333,479"
2002,11,"310,604",222,"310,826"
2002,12,"343,067",442,"343,509"
2002,TOTAL,"3,911,743","4,819","3,916,562"
2003,1,"312,212",372,"312,584"
2003,2,"288,815",165,"288,980"
2003,3,"328,796",14,"328,810"
2003,4,"333,002",35,"333,037"
2003,5,"349,525",29,"349,554"
2003,6,"373,621",37,"373,658"
2003,7,"403,760",244,"404,004"
2003,8,"425,422",225,"425,647"
2003,9,"344,067",134,"344,201"
2003,10,"377,583",157,"377,740"
2003,11,"356,451",144,"356,595"
2003,12,"368,871",461,"369,332"
2003,TOTAL,"4,262,125","2,017","4,264,142"
2004,1,"337,348",149,"337,497"
2004,2,"333,799",39,"333,838"
2004,3,"378,626",9,"378,635"
2004,4,"383,103",258,"383,361"
2004,5,"382,536",28,"382,564"
2004,6,"410,563",36,"410,599"
2004,7,"432,246",107,"432,353"
2004,8,"437,135",106,"437,241"
2004,9,"358,636",167,"358,803"
2004,10,"389,851",155,"390,006"
2004,11,"386,670",91,"386,761"
2004,12,"387,688",166,"387,854"
2004,TOTAL,"4,618,201","1,311","4,619,512"
2005,1,"350,118",92,"350,210"
2005,2,"339,844",61,"339,905"
2005,3,"405,604",102,"405,706"
2005,4,"406,972",68,"407,040"
2005,5,"413,456",92,"413,548"
2005,6,"428,119",72,"428,191"
2005,7,"446,490",109,"446,599"
2005,8,"451,747",247,"451,994"
2005,9,"380,610",146,"380,756"
2005,10,"394,961",94,"395,055"
2005,11,"387,277",43,"387,320"
2005,12,"383,860",69,"383,929"
2005,TOTAL,"4,789,058","1,195","4,790,253"
2006,1,"344,437",43,"344,480"
2006,2,"342,932",97,"343,029"
2006,3,"403,148",47,"403,195"
2006,4,"408,956",79,"409,035"
2006,5,"407,002",151,"407,153"
2006,6,"426,288",147,"426,435"
2006,7,"434,060",172,"434,232"
2006,8,"442,730",262,"442,992"
2006,9,"370,433",149,"370,582"
2006,10,"397,629",140,"397,769"
2006,11,"392,489",62,"392,551"
2006,12,"402,845",44,"402,889"
2006,TOTAL,"4,772,949","1,393","4,774,342"
2007,1,"368,912",71,"368,983"
2007,2,"362,947",54,"363,001"
2007,3,"429,367",28,"429,395"
2007,4,"429,078",76,"429,154"
2007,5,"433,059",231,"433,290"
2007,6,"447,184",157,"447,341"
2007,7,"451,719",123,"451,842"
2007,8,"473,004",225,"473,229"
2007,9,"385,136",128,"385,264"
2007,10,"410,317",96,"410,413"
2007,11,"387,877",96,"387,973"
2007,12,"363,920",105,"364,025"
2007,TOTAL,"4,942,520","1,390","4,943,910"
2008,1,"347,549",41,"347,590"
2008,2,"348,149",10,"348,159"
2008,3,"404,303",26,"404,329"
2008,4,"389,327",6,"389,333"
2008,5,"382,475",,"382,475"
2008,6,"396,000",,"396,000"
2008,7,"409,482",,"409,482"
2008,8,"416,538",,"416,538"
2008,9,"340,807",18,"340,825"
2008,10,"360,593",35,"360,628"
2008,11,"324,364",30,"324,394"
2008,12,"340,756",54,"340,810"
2008,TOTAL,"4,460,343",220,"4,460,563"
2009,1,"291,137",113,"291,250"
2009,2,"287,534",72,"287,606"
2009,3,"353,109",79,"353,188"
2009,4,"359,715",100,"359,815"
2009,5,"367,871",56,"367,927"
2009,6,"391,004",135,"391,139"
2009,7,"405,633",182,"405,815"
2009,8,"415,981",193,"416,174"
2009,9,"350,119",37,"350,156"
2009,10,"378,992",30,"379,022"
2009,11,"347,889",69,"347,958"
2009,12,"358,588",257,"358,845"
